k_ind,t_sim,P_1,P_2,X_1,X_2,X_3,Y_m_1,Y_m_2
0,0,5.4,5.6,740,479,532,740.398949017543,526.583146959153
1,0.0166666666666667,5.4,5.6,739.86866350882,478.920725042014,532.060941624653,741.229406189649,533.157578465531
2,0.0333333333333333,5.4,5.6,739.743566974139,478.845471810702,532.117892078187,738.067502603274,544.965622886619
3,0.05,5.4,5.6,739.624396257404,478.774034704901,532.17105691084,740.264128861118,533.462894358564
4,0.0666666666666667,5.4,5.6,739.510854634452,478.706219748882,532.220630047498,739.747378442428,521.084931962894
5,0.0833333333333333,5.4,5.6,739.402661681263,478.64184382978,532.266794550273,738.432356965404,523.061505764619
6,0.1,5.4,5.6,739.299552244722,478.580733994623,532.309723321463,738.977826964171,530.48527329603
7,0.116666666666667,5.4,5.6,739.201275490653,478.522726801453,532.34957975244,739.455502844825,530.291062424742
8,0.133333333333333,5.4,5.6,739.107594022211,478.467667719615,532.386518323355,741.762764551487,523.087662992228
9,0.15,5.4,5.6,739.018283062444,478.415410574778,532.42068515812,741.073205338619,534.361017952836
10,0.166666666666667,5.4,5.6,738.933129695475,478.365817034761,532.452218538583,737.931513585879,546.054734366233
11,0.183333333333333,5.4,5.6,738.851932161297,478.3187561326,532.481249381454,741.103845373315,529.783691234366
12,0.2,5.4,5.6,738.774499199677,478.274103823671,532.507901681193,739.312749134587,530.310819337071
13,0.216666666666667,5.4,5.6,738.700649439137,478.231742573985,532.532292921704,738.65386272323,508.887947650874
14,0.233333333333333,5.4,5.6,738.630210827309,478.191560977079,532.55453445945,739.160550061948,524.236263714319
15,0.25,5.4,5.6,738.563020099373,478.153453397144,532.574731880324,738.410935284114,517.610984327572
16,0.266666666666667,5.4,5.6,738.498922281552,478.117319636277,532.592985332395,738.406807175176,528.444825180831
17,0.283333333333333,5.4,5.6,738.437770226951,478.083064623941,532.60938983645,739.543125851928,538.254187236716
18,0.3,5.4,5.6,738.379424181237,478.050598126878,532.624035576079,739.424927772669,548.983947593774
19,0.316666666666667,5.4,5.6,738.323751375925,478.019834477901,532.637008168885,739.37530814669,551.95283858238
20,0.333333333333333,5.4,5.6,738.270625647194,477.990692322122,532.648388920253,738.768876520331,531.393051892997
21,0.35,5.4,5.6,738.219927078355,477.963094379299,532.658255061005,737.323971781723,529.219348013853
22,0.366666666666667,5.4,5.6,738.171541664268,477.936967221106,532.66667997013,738.703732743554,541.446804852098
23,0.383333333333333,5.4,5.6,738.125360996115,477.912241062234,532.673733383684,739.334995580675,537.938043071653
24,0.4,5.4,5.6,738.081281965111,477.888849564315,532.679481590859,738.444041142682,540.898279049426
25,0.416666666666667,5.4,5.6,738.039206483811,477.866729651764,532.683987618152,738.80694869717,541.042704564795
26,0.433333333333333,5.4,5.6,737.999041223818,477.845821338683,532.687311402449,738.538389992788,516.788833839933
27,0.45,5.4,5.6,737.960697368766,477.82606756607,532.689509953827,737.735544202574,538.493018880036
28,0.466666666666667,5.4,5.6,737.924090381554,477.80741404862,532.690637508744,738.142143010139,531.707508413879
29,0.483333333333333,5.4,5.6,737.889139784883,477.789809130456,532.690745674312,737.304975944494,524.525635145777
30,0.5,5.4,5.6,737.855768954229,477.773203649206,532.689883564221,738.514958512993,525.24066850486
31,0.516666666666667,5.4,5.6,737.823904922436,477.757550807862,532.688097926876,736.972778903065,546.450954190481
32,0.533333333333333,5.4,5.6,737.793478195191,477.742806053908,532.685433266273,737.00037631523,523.988851326649
33,0.55,5.4,5.6,737.76442257669,477.728926965255,532.681931956059,737.163774545427,519.398502846742
34,0.566666666666667,5.4,5.6,737.736675004854,477.715873142538,532.677634347239,735.552016156654,534.983366800175
35,0.583333333333333,5.4,5.6,737.710175395501,477.703606107376,532.672578869919,738.77745357277,554.26826765323
36,0.6,5.4,5.6,737.684866494932,477.692089206212,532.666802129454,737.926157875208,532.941256744302
37,0.616666666666667,5.4,5.6,737.660693740404,477.681287519405,532.660338997368,737.10053692758,535.971474942659
38,0.633333333333333,5.4,5.6,737.637605128041,477.671167775224,532.653222697355,738.654366644791,522.576447655212
39,0.65,5.4,5.6,737.615551087708,477.661698268472,532.645484886652,736.345605904919,550.62656420876
40,0.666666666666667,5.4,5.6,737.594484364467,477.652848783446,532.637155733086,737.518620469472,533.979528720182
41,0.683333333333333,5.4,5.6,737.574359906207,477.644590520973,532.628263988032,737.395206201334,538.321551483386
42,0.7,5.4,5.6,737.555134757106,477.636896029293,532.61883705553,737.791986157566,522.393624336198
43,0.716666666666667,5.4,5.6,737.536767956586,477.62973913855,532.608901057798,737.768909035291,541.781320925486
44,0.733333333333333,5.4,5.6,737.519220443445,477.623094898691,532.598480897329,736.87747954479,536.77790608605
45,0.75,5.4,5.6,737.502454964872,477.616939520572,532.587600315788,737.480156903094,520.172148663407
46,0.766666666666667,5.4,5.6,737.486435990081,477.611250320092,532.576281949874,737.364095757828,533.003090913738
47,0.783333333333333,5.4,5.6,737.471129628303,477.606005665177,532.564547384339,737.93688843565,527.725118380519
48,0.8,5.4,5.6,737.456503550891,477.601184925462,532.552417202305,738.267706677318,533.725740095794
49,0.816666666666667,5.4,5.6,737.442526917318,477.596768424517,532.539911033037,738.265607704148,529.848973505165
50,0.833333333333333,5.4,5.6,737.429170304862,477.592737394475,532.527047597317,736.788339910946,530.48750382639
51,0.85,5.4,5.6,737.416405641762,477.589073932933,532.51384475054,737.473806087381,521.420353606949
52,0.866666666666667,5.4,5.6,737.404206143686,477.585760962001,532.500319523666,736.503331297324,529.028164287621
53,0.883333333333333,5.4,5.6,737.392546253303,477.582782189384,532.486488162139,736.56632870312,540.718986575232
54,0.9,5.4,5.6,737.381401582824,477.580122071386,532.472366162884,737.376319381371,551.210156112529
55,0.916666666666667,5.4,5.6,737.370748859338,477.577765777736,532.457968309477,738.507960548085,519.993984302413
56,0.933333333333333,5.4,5.6,737.360565872807,477.575699158137,532.443308705597,736.789473764802,557.976712000204
